Event Id,Restaurant Id,Restaurant Name,Photo URL,Event Title,Event Start Date,Event End Date
337463,18537585,The Reservoire,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,SUNDAY TIKI BRUNCH,2019-04-09,2019-06-09
297581,18709627,Simon Says Brew Works,https://www.zomato.com/bangalore/simon-says-brew-works-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,LADIES NIGHT & BOLLYWOOD KARAOKE,2019-01-13,2019-07-28
328516,18709627,Simon Says Brew Works,https://www.zomato.com/bangalore/simon-says-brew-works-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,IPL OFFERS WITH LIVE SCREENING,2019-03-23,2019-05-12
330592,18709627,Simon Says Brew Works,https://www.zomato.com/bangalore/simon-says-brew-works-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,HAPPY HOURS 1+1 ON ALL LIQUORS FULL DAY,2019-03-25,2019-04-30
331692,18709627,Simon Says Brew Works,https://www.zomato.com/bangalore/simon-says-brew-works-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,WEDNESDAY LADIES NIGHT WITH DJ ARPITAA ,2019-03-27,2019-04-30
332016,18709627,Simon Says Brew Works,https://www.zomato.com/bangalore/simon-says-brew-works-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,SEASONAL FRUITS BREWED BEER,2019-03-27,2019-04-30
332132,18709627,Simon Says Brew Works,https://www.zomato.com/bangalore/simon-says-brew-works-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,WEEKLY OFFERS AND EVENTS,2019-03-28,2019-04-30
315874,18709627,Simon Says Brew Works,https://www.zomato.com/bangalore/simon-says-brew-works-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bollywood Night with DJ Oppozit,2019-03-28,2019-04-26
320441,18727906,XOOX Brewmill,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Happy Hours Menu,2019-04-08,2019-04-30
317384,18727906,XOOX Brewmill,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Plan Your Corporate Event!,2019-04-08,2019-04-30
319262,18727906,XOOX Brewmill,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,X019' Match Screening ,2019-04-09,2019-05-05
314958,18727906,XOOX Brewmill,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Sparkling Wine Brunch !,2019-04-13,2019-04-30
332812,18893197,FC Road Social,https://www.zomato.com/pune/fc-road-social-shivaji-nagar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Live 20/20 Match Screenings,2019-03-29,2019-05-23
337514,18880433,BeHive,https://www.zomato.com/pune/behive-hinjawadi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"queen bees , ladies night",2019-04-10,2019-04-10
332116,18562250,Cafe Co2 Resto Lounge,https://www.zomato.com/pune/cafe-co2-resto-lounge-bhugaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Live Cricket Screening @ Cafe CO2,2019-03-28,2019-05-19
337013,6508166,Flying Duck Co.,https://www.zomato.com/pune/flying-duck-co-baner/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Alcoholic Weekdays! ,2019-04-09,2019-04-11
337015,6508166,Flying Duck Co.,https://www.zomato.com/pune/flying-duck-co-baner/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Girls Night Out,2019-04-10,2019-04-10
332959,18784250,Universal Barbeque,https://www.zomato.com/pune/universal-barbeque-hinjawadi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,FAMILY OFFER,2019-03-29,2019-04-30
329559,18740139,Grandmama's Cafe,https://www.zomato.com/pune/grandmamas-cafe-koregaon-park/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Grandma's Quiz Night! ,2019-04-11,2019-04-11
336866,18417624,The Sassy Spoon,https://www.zomato.com/pune/the-sassy-spoon-koregaon-park/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Gossip & Giggles ,2019-04-08,2019-12-31
336867,18417624,The Sassy Spoon,https://www.zomato.com/pune/the-sassy-spoon-koregaon-park/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,A Night to Remember ,2019-04-08,2019-12-31
336718,18621437,The FML Lounge,https://www.zomato.com/pune/the-fml-lounge-hinjawadi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,HAPPY DAYS 1+1,2019-04-08,2019-05-31
332812,18657534,Viman Nagar Social,https://www.zomato.com/vimannagarsocial/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Live 20/20 Match Screenings,2019-03-29,2019-05-23
327542,18536004,Culture - पुणे,https://www.zomato.com/pune/culture-fc-road/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Ladies Night- Every Thursday,2019-03-18,2019-12-31
337114,18536004,Culture - पुणे,https://www.zomato.com/pune/culture-fc-road/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,IPL Quiz Night,2019-04-10,2019-04-10
337273,6508323,The Urban Foundry,https://www.zomato.com/pune/the-urban-foundry-baner/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,LIVE SCREENING,2019-04-09,2019-04-30
